o_bor,d_bor,occ_type,count,is_prof
Barnet,Enfield,1_managers_senior,494,TRUE
Barnet,Enfield,2_professional,1352,TRUE
Barnet,Enfield,3_associate_professional,467,TRUE
Barnet,Enfield,4_administrative,593,FALSE
Barnet,Enfield,5_trade,249,FALSE
Barnet,Enfield,6_caring_leisure,461,FALSE
Barnet,Enfield,7_sales_customer,325,FALSE
Barnet,Enfield,8_machine_operatives,215,FALSE
Barnet,Enfield,9_elementary,301,FALSE
Barnet,Greenwich,1_managers_senior,29,TRUE
Barnet,Greenwich,2_professional,86,TRUE
Barnet,Greenwich,3_associate_professional,35,TRUE
Barnet,Greenwich,4_administrative,34,FALSE
Barnet,Greenwich,5_trade,9,FALSE
Barnet,Greenwich,6_caring_leisure,9,FALSE
Barnet,Greenwich,7_sales_customer,19,FALSE
Barnet,Greenwich,8_machine_operatives,10,FALSE
Barnet,Greenwich,9_elementary,19,FALSE
Barnet,Hackney,1_managers_senior,331,TRUE
Barnet,Hackney,2_professional,564,TRUE
Barnet,Hackney,3_associate_professional,292,TRUE
Barnet,Hackney,4_administrative,227,FALSE
Barnet,Hackney,5_trade,74,FALSE
Barnet,Hackney,6_caring_leisure,119,FALSE
Barnet,Hackney,7_sales_customer,101,FALSE
Barnet,Hackney,8_machine_operatives,66,FALSE
Barnet,Hackney,9_elementary,92,FALSE
Barnet,Hammersmith and Fulham,1_managers_senior,237,TRUE
Barnet,Hammersmith and Fulham,2_professional,496,TRUE
Barnet,Hammersmith and Fulham,3_associate_professional,373,TRUE
Barnet,Hammersmith and Fulham,4_administrative,152,FALSE
Barnet,Hammersmith and Fulham,5_trade,89,FALSE
Barnet,Hammersmith and Fulham,6_caring_leisure,89,FALSE
Barnet,Hammersmith and Fulham,7_sales_customer,147,FALSE
Barnet,Hammersmith and Fulham,8_machine_operatives,55,FALSE
Barnet,Hammersmith and Fulham,9_elementary,103,FALSE
Barnet,Haringey,1_managers_senior,609,TRUE
Barnet,Haringey,2_professional,904,TRUE
Barnet,Haringey,3_associate_professional,454,TRUE
Barnet,Haringey,4_administrative,516,FALSE
Barnet,Haringey,5_trade,272,FALSE
Barnet,Haringey,6_caring_leisure,452,FALSE
Barnet,Haringey,7_sales_customer,313,FALSE
Barnet,Haringey,8_machine_operatives,166,FALSE
Barnet,Haringey,9_elementary,279,FALSE
Barnet,Harrow,1_managers_senior,303,TRUE
Barnet,Harrow,2_professional,646,TRUE
Barnet,Harrow,3_associate_professional,275,TRUE
Barnet,Harrow,4_administrative,400,FALSE
Barnet,Harrow,5_trade,144,FALSE
Barnet,Harrow,6_caring_leisure,290,FALSE
Barnet,Harrow,7_sales_customer,202,FALSE
Barnet,Harrow,8_machine_operatives,133,FALSE
Barnet,Harrow,9_elementary,207,FALSE
Barnet,Havering,1_managers_senior,23,TRUE
Barnet,Havering,2_professional,55,TRUE
Barnet,Havering,3_associate_professional,14,TRUE
Barnet,Havering,4_administrative,9,FALSE
Barnet,Havering,5_trade,11,FALSE
Barnet,Havering,6_caring_leisure,3,FALSE
Barnet,Havering,7_sales_customer,6,FALSE
Barnet,Havering,8_machine_operatives,10,FALSE
Barnet,Havering,9_elementary,11,FALSE
Barnet,Hillingdon,1_managers_senior,130,TRUE
Barnet,Hillingdon,2_professional,263,TRUE
Barnet,Hillingdon,3_associate_professional,141,TRUE
Barnet,Hillingdon,4_administrative,84,FALSE
Barnet,Hillingdon,5_trade,54,FALSE
Barnet,Hillingdon,6_caring_leisure,85,FALSE
Barnet,Hillingdon,7_sales_customer,59,FALSE
Barnet,Hillingdon,8_machine_operatives,64,FALSE
Barnet,Hillingdon,9_elementary,91,FALSE
Barnet,Hounslow,1_managers_senior,113,TRUE
Barnet,Hounslow,2_professional,176,TRUE
Barnet,Hounslow,3_associate_professional,177,TRUE
Barnet,Hounslow,4_administrative,66,FALSE
Barnet,Hounslow,5_trade,39,FALSE
Barnet,Hounslow,6_caring_leisure,33,FALSE
Barnet,Hounslow,7_sales_customer,54,FALSE
Barnet,Hounslow,8_machine_operatives,54,FALSE
Barnet,Hounslow,9_elementary,45,FALSE
Barnet,Islington,1_managers_senior,938,TRUE
Barnet,Islington,2_professional,1772,TRUE
Barnet,Islington,3_associate_professional,1090,TRUE
Barnet,Islington,4_administrative,766,FALSE
Barnet,Islington,5_trade,256,FALSE
Barnet,Islington,6_caring_leisure,308,FALSE
Barnet,Islington,7_sales_customer,307,FALSE
Barnet,Islington,8_machine_operatives,141,FALSE
Barnet,Islington,9_elementary,286,FALSE
Barnet,Kensington and Chelsea,1_managers_senior,338,TRUE
Barnet,Kensington and Chelsea,2_professional,451,TRUE
Barnet,Kensington and Chelsea,3_associate_professional,277,TRUE
Barnet,Kensington and Chelsea,4_administrative,243,FALSE
Barnet,Kensington and Chelsea,5_trade,118,FALSE
